WardID,Ward Name,Neighbours,Area,Perimeter,Electorate,Constituency,Lng,Lat,OuterLength,NeighbourID,RealLengths,CleanLengths,InitialConstituency,Unionist,Nationalist
N08000413,DERVOCK,"LOUGHGUILE and STRANOCUM,DUNLOY,BALLYMONEY SOUTH,BALLYMONEY EAST,GIANT'S CAUSEWAY,ROUTE,DUNDOOAN",61742566,50932,"2,408",Causeway,-6.47451229,55.11009005,0,"N08000406,N08000408,N08000413,N08000415,N08000417,N08000420,N08000426,N08000436","[363.12935302666284, 3403.756741313022, 0.0, 5311.493251679004, 6956.889554634323, 13221.333297569245, 10256.027607948414, 11403.160050933644]","363.12935302666284, 3403.756741313022, 0.0, 5311.493251679004, 6956.889554634323, 13221.333297569245, 10256.027607948414, 11403.160050933644",Dalriada,1775.836972,632
N08000414,DRUMSURN,"GARVAGH,AGHADOWEY,ALTAHULLION,MAGILLIGAN,GREYSTONE,DUNGIVEN",44177748,44040,"2,370",Causeway,-6.871926,55.01037912,0,"N08000401,N08000402,N08000414,N08000416,N08000419,N08000422,N08000429","[4864.911873422597, 12544.909155699508, 0.0, 9477.683029409927, 1569.0375041529749, 1996.0092887284507, 13587.449116187749]","4864.911873422597, 12544.909155699508, 0.0, 9477.683029409927, 1569.0375041529749, 1996.0092887284507, 13587.449116187749",Glenshane,1388.502839,981
N08000415,DUNDOOAN,"DERVOCK,GIANT'S CAUSEWAY,HOPEFIELD,ATLANTIC,PORTRUSH and DUNLUCE,QUARRY,CASTLEROCK,PORTSTEWART,UNIVERSITY,AGHADOWEY,ROUTE,MOUNTSANDEL,WINDY HALL",78160131,54192,"2,468",Causeway,-6.60849214,55.15035009,0,"N08000401,N08000403,N08000409,N08000413,N08000415,N08000420,N08000423,N08000430,N08000431,N08000432,N08000433,N08000436,N08000438,N08000440","[3076.306684523725, 5993.100029941648, 3380.606029854508, 5287.039015774852, 0.0, 3216.441708291216, 3028.602936150009, 835.9888609126455, 10165.306329526178, 3149.2061596074004, 2583.5970993379397, 5902.004222901296, 3490.903983045085, 4118.547494112216]","3076.306684523725, 5993.100029941648, 3380.606029854508, 5287.039015774852, 0.0, 3216.441708291216, 3028.602936150009, 835.9888609126455, 10165.306329526178, 3149.2061596074004, 2583.5970993379397, 5902.004222901296, 3490.903983045085, 4118.547494112216",Dalriada,1471.928039,996
N08000420,GIANT'S CAUSEWAY,"LOUGHGUILE and STRANOCUM,KINBANE,DERVOCK,PORTRUSH and DUNLUCE,DUNDOOAN",86053779,67703,"2,453",Causeway,-6.46201238,55.1954598,0.318314524,"N08000413,N08000415,N08000420,N08000425,N08000426,N08000431,out","[13632.821891173948, 3331.887361247319, 0.0, 16001.520276111072, 1800.1850737580664, 6384.096782689104, 26552.48864635686]","13632.821891173948, 3331.887361247319, 0.0, 16001.520276111072, 1800.1850737580664, 6384.096782689104, 26552.48864635686",Dalriada,1799.818367,653
N08000421,GREYSTEEL,"BALLYKELLY,CLAUDY,EGLINTON",36115203,38748,"2,917",Causeway,-7.09789908,55.02104267,0.156032587,"N08000405,N08000421,N08000509,N08000517,out","[14304.383320797026, 0.0, 6077.070780433205, 5885.1983717124185, 12481.347563903853]","14304.383320797026, 0.0, 6077.070780433205, 5885.1983717124185, 12481.347563903853",Glenshane,1752.340574,"1,165"
N08000422,GREYSTONE,"ALTAHULLION,MAGILLIGAN,ROESIDE,COOLESSAN,DRUMSURN",1124333,8105,"2,329",Causeway,-6.93229875,55.04298661,0,"N08000402,N08000412,N08000414,N08000422,N08000429,N08000435","[2025.912006431434, 1228.3204903076257, 2073.632581213127, 0.0, 602.4417417607027, 2159.0281085684023]","2025.912006431434, 1228.3204903076257, 2073.632581213127, 0.0, 602.4417417607027, 2159.0281085684023",Glenshane,1403.689941,925
N08000423,HOPEFIELD,"ATLANTIC,PORTRUSH and DUNLUCE,DUNDOOAN",2087375,7344,"2,534",Causeway,-6.64783194,55.19080831,0.003686881,"N08000403,N08000415,N08000423,N08000431,out","[1465.3343067005442, 2968.839996218673, 0.0, 2618.795727700371, 291.02995544901]","1465.3343067005442, 2968.839996218673, 0.0, 2618.795727700371, 291.02995544901",Dalriada,1539.124546,995
N08000425,KINBANE,"LOUGHGUILE and STRANOCUM,BALLYCASTLE,TORR HEAD and RATHLIN,GIANT'S CAUSEWAY",83135640,55841,"2,584",Causeway,-6.33550142,55.19033796,0.187560276,"N08000437,N08000404,N08000420,N08000425,N08000426,out","[18325.750647955327, 3198.9943853172813, 15400.143961844775, 0.0, 3858.600486989429, 15057.510503033367]","18325.750647955327, 3198.9943853172813, 15400.143961844775, 0.0, 3858.600486989429, 15057.510503033367",Dalriada,1904.507992,679
N08000428,MACOSQUIN,"CASTLEROCK,AGHADOWEY,CHURCHLAND,MOUNTSANDEL,WATERSIDE,WINDY HALL,MAGILLIGAN",88943998,57171,"2,407",Causeway,-6.76196395,55.11150541,0.027419367,"N08000401,N08000409,N08000410,N08000428,N08000429,N08000430,N08000439,N08000440,out","[24125.02202185742, 12555.513848212755, 3295.869646511256, 0.0, 12755.56082129344, 508.81475038718077, 1460.3346361512333, 292.1629096689817, 2177.7213369216965]","24125.02202185742, 12555.513848212755, 3295.869646511256, 0.0, 12755.56082129344, 508.81475038718077, 1460.3346361512333, 292.1629096689817, 2177.7213369216965",Glenshane,1408.70472,998
N08000429,MAGILLIGAN,"AGHADOWEY,MACOSQUIN,BALLYKELLY,ROESIDE,GREYSTONE,DRUMSURN",144987043,67830,"2,271",Causeway,-6.90775912,55.10225336,0.318784604,"N08000401,N08000405,N08000414,N08000422,N08000428,N08000429,N08000435,out","[4171.933427309711, 6956.689025975796, 14094.710442242234, 601.5393374171307, 13172.771803548243, 0.0, 2685.478464607841, 26146.877539026176]","4171.933427309711, 6956.689025975796, 14094.710442242234, 601.5393374171307, 13172.771803548243, 0.0, 2685.478464607841, 26146.877539026176",Glenshane,1364.899338,906
N08000430,MOUNTSANDEL,"QUARRY,UNIVERSITY,MACOSQUIN,DUNDOOAN,CHURCHLAND,WATERSIDE,WINDY HALL",3042517,9223,"2,601",Causeway,-6.66189229,55.12729973,0,"N08000410,N08000415,N08000428,N08000430,N08000433,N08000438,N08000439,N08000440","[864.9808767440201, 870.2395701432799, 537.0160882011028, 0.0, 2092.1021897509268, 1173.5014324428057, 1337.8088062634665, 2366.0461835057504]","864.9808767440201, 870.2395701432799, 537.0160882011028, 0.0, 2092.1021897509268, 1173.5014324428057, 1337.8088062634665, 2366.0461835057504",Dalriada,1549.027818,"1,052"
N08000431,PORTRUSH and DUNLUCE,"GIANT'S CAUSEWAY,HOPEFIELD,DUNDOOAN",20697266,37856,"2,242",Causeway,-6.57825183,55.19988294,0.245570523,"N08000415,N08000420,N08000423,N08000431,out","[9924.524281899781, 6016.917604884456, 2608.2330797346244, 0.0, 19306.325024762456]","9924.524281899781, 6016.917604884456, 2608.2330797346244, 0.0, 19306.325024762456",Dalriada,1324.145347,918
N08000432,PORTSTEWART,"ATLANTIC,CASTLEROCK,DUNDOOAN",3764157,17601,"2,203",Causeway,-6.73098032,55.17187322,0.117482633,"N08000403,N08000409,N08000415,N08000432,out","[2353.1823745032148, 3345.0534333382993, 2972.683401549053, 0.0, 8930.08078179221]","2353.1823745032148, 3345.0534333382993, 2972.683401549053, 0.0, 8930.08078179221",Dalriada,1302.450326,901
N08000433,QUARRY,"UNIVERSITY,DUNDOOAN,MOUNTSANDEL",1722599,6853,"2,582",Causeway,-6.65257094,55.13995712,0,"N08000415,N08000430,N08000433,N08000438","[2723.039656946105, 2118.233029963183, 0.0, 2022.2132957232782]","2723.039656946105, 2118.233029963183, 0.0, 2022.2132957232782",Dalriada,1565.771152,"1,016"
N08000435,ROESIDE,"BALLYKELLY,MAGILLIGAN,COOLESSAN,GREYSTONE",2106211,7325,"2,114",Causeway,-6.94421678,55.05180145,0,"N08000405,N08000412,N08000422,N08000429,N08000435","[1304.4888277675918, 1309.093395625245, 2085.602389169533, 2598.040492253655, 0.0]","1304.4888277675918, 1309.093395625245, 2085.602389169533, 2598.040492253655, 0.0",Glenshane,1220.574891,893
N08000436,ROUTE,"CLOGH MILLS,RASHARKIN,BALLYMONEY SOUTH,DERVOCK,BALLYMONEY NORTH,BALLYMONEY EAST,AGHADOWEY,DUNDOOAN",33079291,37582,"2,336",Causeway,-6.54746474,55.08428792,0,"N08000401,N08000406,N08000407,N08000408,N08000411,N08000413,N08000415,N08000434,N08000436","[3178.494815561733, 781.5624180183171, 7173.8601150023605, 2183.5218107144697, 1951.263688933463, 11078.89496575106, 5760.69470262468, 5473.707449735529, 0.0]","3178.494815561733, 781.5624180183171, 7173.8601150023605, 2183.5218107144697, 1951.263688933463, 11078.89496575106, 5760.69470262468, 5473.707449735529, 0.0",Dalriada,1755.003845,581
N08000438,UNIVERSITY,"QUARRY,CASTLEROCK,DUNDOOAN,MOUNTSANDEL,WATERSIDE",2723715,8253,"2,154",Causeway,-6.67211807,55.14867354,0,"N08000409,N08000415,N08000430,N08000433,N08000438,N08000439","[1638.8638612413756, 3353.1676624622323, 1082.8359187625827, 1842.9567736150573, 0.0, 359.8632602265077]","1638.8638612413756, 3353.1676624622323, 1082.8359187625827, 1842.9567736150573, 0.0, 359.8632602265077",Dalriada,1322.604937,831
N08000439,WATERSIDE,"CASTLEROCK,UNIVERSITY,MACOSQUIN,CHURCHLAND,MOUNTSANDEL",2115838,7371,"2,944",Causeway,-6.68234954,55.13359578,0,"N08000409,N08000410,N08000428,N08000430,N08000438,N08000439","[2411.586542358078, 1641.4259082209874, 1564.3340045161021, 1357.8242057410152, 395.8293352686781, 0.0]","2411.586542358078, 1641.4259082209874, 1564.3340045161021, 1357.8242057410152, 395.8293352686781, 0.0",Dalriada,1740.673612,"1,203"
N08000440,WINDY HALL,"AGHADOWEY,MACOSQUIN,DUNDOOAN,MOUNTSANDEL",2914100,8606,"2,760",Causeway,-6.64127912,55.11464355,0,"N08000401,N08000415,N08000428,N08000430,N08000440","[2091.746956978596, 4016.0306098588712, 288.8466163521179, 2216.347310427277, 0.0]","2091.746956978596, 4016.0306098588712, 288.8466163521179, 2216.347310427277, 0.0",Dalriada,1693.627505,"1,066"
N08000104,BALLYCLARE EAST,"BALLYROBERT,BALLYCLARE WEST,BALLYNURE",1827581,8186,"2,590",East Antrim,-5.99610597,54.75428426,0,"N08000104,N08000105,N08000108,N08000109","[0.0, 2504.2123324102063, 3543.1262041186988, 2138.661426952118]","0.0, 2504.2123324102063, 3543.1262041186988, 2138.661426952118",West Antrim,1900.945294,689
N08000105,BALLYCLARE WEST,"BALLYROBERT,BALLYCLARE EAST,DOAGH,BALLYNURE",1780972,8309,"2,651",East Antrim,-6.01419819,54.75429106,0,"N08000104,N08000105,N08000108,N08000109,N08000117","[2512.5831597945876, 0.0, 743.9444231764221, 1241.2770571583294, 3811.195342322213]","2512.5831597945876, 0.0, 743.9444231764221, 1241.2770571583294, 3811.195342322213",West Antrim,1941.547846,709
N08000106,BALLYDUFF,"FAIRVIEW,MONKSTOWN,CARNMONEY HILL,JORDANSTOWN,MOSSLEY,BALLYNURE",1042037,5162,"2,348",East Antrim,-5.92712282,54.6913434,0,"N08000106,N08000108,N08000112,N08000118,N08000124,N08000126,N08000127","[0.0, 142.48749348324827, 463.4669312738116, 782.3024578157882, 2187.410003356955, 1261.0004948258959, 325.3326243905541]","0.0, 142.48749348324827, 463.4669312738116, 782.3024578157882, 2187.410003356955, 1261.0004948258959, 325.3326243905541",West Antrim,1736.913455,611
N08000108,BALLYNURE,"BALLYDUFF,WOODBURN,JORDANSTOWN,MOSSLEY,BALLYROBERT,BALLYCLARE EAST,BALLYCLARE WEST,DOAGH,KILWAUGHTER,PARKGATE,GLENWHIRRY",43173196,45074,"2,528",East Antrim,-5.94773847,54.747775,0,"N08000104,N08000105,N08000106,N08000108,N08000109,N08000117,N08000124,N08000127,N08000129,N08000822,N08000829,N08000840","[3661.9210518671484, 766.3259864648554, 163.53305273407958, 0.0, 6498.256912085628, 1764.2801998344587, 3984.876776125833, 5200.777413964903, 922.3795098580135, 4080.5445418612826, 8004.889466041659, 10026.215101857606]","3661.9210518671484, 766.3259864648554, 163.53305273407958, 0.0, 6498.256912085628, 1764.2801998344587, 3984.876776125833, 5200.777413964903, 922.3795098580135, 4080.5445418612826, 8004.889466041659, 10026.215101857606",West Antrim,1848.917198,679
N08000109,BALLYROBERT,"MOSSLEY,MALLUSK,BALLYCLARE EAST,BALLYCLARE WEST,DOAGH,BALLYNURE,TEMPLEPATRICK",16550257,23660,"2,470",East Antrim,-6.01001225,54.72427798,0,"N08000104,N08000105,N08000108,N08000109,N08000117,N08000125,N08000127,N08000137","[2195.5760764111824, 1270.0648214808157, 6454.77303018247, 0.0, 3335.1005919734384, 2252.705551243528, 3592.659132380189, 4559.1208034527135]","2195.5760764111824, 1270.0648214808157, 6454.77303018247, 0.0, 3335.1005919734384, 2252.705551243528, 3592.659132380189, 4559.1208034527135",West Antrim,1796.269366,674
N08000118,FAIRVIEW,"CARNMONEY,BALLYDUFF,CARNMONEY HILL,MOSSLEY",554960,3318,"2,136",East Antrim,-5.94112573,54.6870712,0,"N08000106,N08000111,N08000112,N08000118,N08000127","[820.4669684880375, 586.4015403628714, 1334.883931276391, 0.0, 576.2475746035288]","820.4669684880375, 586.4015403628714, 1334.883931276391, 0.0, 576.2475746035288",West Antrim,1558.408255,578
N08000124,JORDANSTOWN,"BALLYDUFF,MONKSTOWN,ROSTULLA,WOODBURN,BALLYNURE,GREENISLAND,GORTALEE",6172349,11500,"2,456",East Antrim,-5.91220746,54.70208787,0,"N08000106,N08000108,N08000124,N08000126,N08000132,N08000823,N08000825,N08000840","[2415.9545585699234, 3834.817200725855, 0.0, 449.97815551160977, 1427.9447823376343, 522.8267573099049, 918.2337868320164, 1930.2447722169654]","2415.9545585699234, 3834.817200725855, 0.0, 449.97815551160977, 1427.9447823376343, 522.8267573099049, 918.2337868320164, 1930.2447722169654",East Antrim,1916.543092,539
N08000127,MOSSLEY,"CARNMONEY,BALLYDUFF,FAIRVIEW,BURNTHILL,MALLUSK,BALLYROBERT,BALLYNURE",7006622,14868,"2,520",East Antrim,-5.9699715,54.7051479,0,"N08000106,N08000108,N08000109,N08000110,N08000111,N08000118,N08000125,N08000127","[362.1790251017572, 5044.697724071466, 3508.316751337947, 1862.2222665027973, 218.81610160978127, 611.6716930743053, 3260.096426021948, 0.0]","362.1790251017572, 5044.697724071466, 3508.316751337947, 1862.2222665027973, 218.81610160978127, 611.6716930743053, 3260.096426021948, 0.0",West Antrim,1866.874592,653
N08000132,ROSTULLA,"ABBEY,MONKSTOWN,JORDANSTOWN,GORTALEE",2516931,7310,"2,459",East Antrim,-5.88630639,54.68782854,0.024614795,"N08000101,N08000124,N08000126,N08000132,N08000823,out","[1061.7758207350169, 1433.9850602677188, 813.6217066936813, 0.0, 2059.5733629164856, 1941.0440562371248]","1061.7758207350169, 1433.9850602677188, 813.6217066936813, 0.0, 2059.5733629164856, 1941.0440562371248",East Antrim,1934.730514,524
N08000805,BALLYCARRY and GLYNN,"WHITEHEAD SOUTH,KILROOT,WOODBURN,ISLANDMAGEE,CURRAN and INVER,KILWAUGHTER",45687201,35093,"2,621",East Antrim,-5.78970915,54.80091684,0,"N08000805,N08000817,N08000826,N08000828,N08000829,N08000839,N08000840","[0.0, 4302.049642883469, 7005.51216308314, 7410.924776157361, 5451.623445182869, 3959.324908448821, 6963.565066627517]","0.0, 4302.049642883469, 7005.51216308314, 7410.924776157361, 5451.623445182869, 3959.324908448821, 6963.565066627517",East Antrim,2081.391324,540
N08000807,BONEYBEFORE,"KILROOT,LOVE LANE,VICTORIA",913990,5205,"2,395",East Antrim,-5.78630532,54.72727153,0.013794301,"N08000807,N08000828,N08000831,N08000838,out","[0.0, 1901.1153372163462, 1200.0379801414967, 956.7163640211995, 1147.1303089236965]","0.0, 1901.1153372163462, 1200.0379801414967, 956.7163640211995, 1147.1303089236965",East Antrim,1856.495636,539
N08000810,BURLEIGH HILL,"WOODBURN,SUNNYLANDS,LOVE LANE,VICTORIA",1137263,4982,"2,240",East Antrim,-5.8202882,54.72894898,0,"N08000810,N08000831,N08000836,N08000838,N08000840","[0.0, 74.42095308382085, 1593.8850202211731, 722.4628299645854, 2591.2312039243766]","0.0, 74.42095308382085, 1593.8850202211731, 722.4628299645854, 2591.2312039243766",East Antrim,1791.835973,448
N08000811,CAIRNCASTLE,"THE MAIDENS,CARNLOUGH and GLENARM,KILWAUGHTER,CRAIGYHILL,GARDENMORE,SLEMISH",32177179,30181,"2,635",East Antrim,-5.89071302,54.87756221,0.081921122,"N08000811,N08000812,N08000815,N08000820,N08000829,N08000835,N08000837,out","[0.0, 8266.27536676848, 2962.8627056143787, 1033.6510264284975, 8126.716067606723, 2652.897778760513, 895.6570264794123, 6242.939992220522]","0.0, 8266.27536676848, 2962.8627056143787, 1033.6510264284975, 8126.716067606723, 2652.897778760513, 895.6570264794123, 6242.939992220522",East Antrim,2102.979768,532
N08000812,CARNLOUGH and GLENARM,"LURIGETHAN,CAIRNCASTLE,SLEMISH",110433025,62605,"2,257",East Antrim,-5.9844211,54.96247649,0.279141878,"N08000811,N08000812,N08000835,N08000427,out","[8809.687189371984, 0.0, 18263.017987118943, 12861.388491709953, 22670.9063182637]","8809.687189371984, 0.0, 18263.017987118943, 12861.388491709953, 22670.9063182637",East Antrim,1769.703903,487
N08000813,CASTLE,"SUNNYLANDS,LOVE LANE,GREENISLAND",1311177,7613,"2,694",East Antrim,-5.81246464,54.71513874,0.037245265,"N08000813,N08000825,N08000831,N08000836,out","[0.0, 1440.6291394152274, 1280.2156248892215, 2084.470316414305, 2807.684912217052]","0.0, 1440.6291394152274, 1280.2156248892215, 2084.470316414305, 2807.684912217052",East Antrim,2088.260963,606
N08000815,CRAIGYHILL,"KILWAUGHTER,CAIRNCASTLE,GARDENMORE",1782345,7024,"2,572",East Antrim,-5.84888724,54.85786585,0,"N08000811,N08000815,N08000820,N08000829","[3118.8140056825364, 0.0, 1595.7528456441257, 2309.43314883676]","3118.8140056825364, 0.0, 1595.7528456441257, 2309.43314883676",East Antrim,2047.923838,524
N08000817,CURRAN and INVER,"BALLYCARRY and GLYNN,ISLANDMAGEE,THE MAIDENS,KILWAUGHTER,GARDENMORE",4662506,13748,"2,509",East Antrim,-5.81068499,54.8459652,0.0202809,"N08000805,N08000817,N08000820,N08000826,N08000829,N08000837,out","[4310.27315961702, 0.0, 1754.8785088377574, 2531.929064819206, 1813.4250142548574, 1697.2595810670384, 1640.234673336427]","4310.27315961702, 0.0, 1754.8785088377574, 2531.929064819206, 1813.4250142548574, 1697.2595810670384, 1640.234673336427",East Antrim,1989.804295,519
N08000820,GARDENMORE,"CURRAN and INVER,THE MAIDENS,KILWAUGHTER,CAIRNCASTLE,CRAIGYHILL",1752157,7070,"2,512",East Antrim,-5.82902531,54.85767786,0,"N08000811,N08000815,N08000817,N08000820,N08000829,N08000837","[1096.832344696539, 1608.6219404681456, 1754.6393236793294, 0.0, 631.1670040397602, 1978.7393476516406]","1096.832344696539, 1608.6219404681456, 1754.6393236793294, 0.0, 631.1670040397602, 1978.7393476516406",East Antrim,1957.889392,554
N08000823,GORTALEE,"ROSTULLA,JORDANSTOWN,GREENISLAND",1167768,6024,"2,369",East Antrim,-5.8760827,54.69558757,0.008938129,"N08000124,N08000132,N08000823,N08000825,out","[538.1546818254981, 2111.0249708559554, 0.0, 2652.3801168872205, 722.4402022215579]","538.1546818254981, 2111.0249708559554, 0.0, 2652.3801168872205, 722.4402022215579",East Antrim,1856.568298,512
N08000825,GREENISLAND,"WOODBURN,CASTLE,SUNNYLANDS,JORDANSTOWN,GORTALEE",6292898,14588,"2,385",East Antrim,-5.85800746,54.70670596,0.047285365,"N08000124,N08000813,N08000823,N08000825,N08000836,N08000840,out","[927.150177825404, 1515.226895455873, 2601.8560416604496, 0.0, 6.458172258150461, 5788.187208370652, 3749.121486801256]","927.150177825404, 1515.226895455873, 2601.8560416604496, 0.0, 6.458172258150461, 5788.187208370652, 3749.121486801256",East Antrim,1843.745189,541
N08000826,ISLANDMAGEE,"WHITEHEAD SOUTH,BALLYCARRY and GLYNN,CURRAN and INVER",32721916,36238,"2,377",East Antrim,-5.73302605,54.81765988,0.260688689,"N08000805,N08000817,N08000826,N08000839,out","[7487.492589916529, 2700.963229911641, 0.0, 3558.578771243655, 22490.965445867594]","7487.492589916529, 2700.963229911641, 0.0, 3558.578771243655, 22490.965445867594",East Antrim,1891.479077,486
N08000828,KILROOT,"WHITEHEAD SOUTH,WOODBURN,BALLYCARRY and GLYNN,BONEYBEFORE,VICTORIA",19250781,24500,"2,906",East Antrim,-5.77723627,54.75223927,0.070844748,"N08000805,N08000807,N08000828,N08000838,N08000839,N08000840,out","[7796.92000358147, 1941.4914723475829, 0.0, 1071.826815943862, 2388.956662682554, 5284.252276747668, 6016.552731607199]","7796.92000358147, 1941.4914723475829, 0.0, 1071.826815943862, 2388.956662682554, 5284.252276747668, 6016.552731607199",East Antrim,2307.285038,599
N08000829,KILWAUGHTER,"WOODBURN,BALLYCARRY and GLYNN,CURRAN and INVER,BALLYNURE,CAIRNCASTLE,CRAIGYHILL,GARDENMORE,GLENWHIRRY,SLEMISH",64553856,41601,"2,962",East Antrim,-5.91357101,54.8204258,0,"N08000108,N08000805,N08000811,N08000815,N08000817,N08000820,N08000822,N08000829,N08000835,N08000840","[7932.180211695092, 5460.719501282098, 8622.540328533038, 2327.8103484019443, 1812.985137520372, 631.0999210676708, 10640.934898773807, 0.0, 662.0855610647011, 3510.6440533680425]","7932.180211695092, 5460.719501282098, 8622.540328533038, 2327.8103484019443, 1812.985137520372, 631.0999210676708, 10640.934898773807, 0.0, 662.0855610647011, 3510.6440533680425",East Antrim,2319.326206,643
N08000831,LOVE LANE,"CASTLE,SUNNYLANDS,BONEYBEFORE,BURLEIGH HILL,VICTORIA",1195384,5079,"2,466",East Antrim,-5.79943412,54.72337668,0.012807084,"N08000807,N08000810,N08000813,N08000831,N08000836,N08000838,out","[1163.1525145678618, 74.63974718151347, 1368.864782385698, 0.0, 236.97997989043398, 1203.065190573257, 1032.297779823122]","1163.1525145678618, 74.63974718151347, 1368.864782385698, 0.0, 236.97997989043398, 1203.065190573257, 1032.297779823122",East Antrim,1981.043634,485
N08000836,SUNNYLANDS,"WOODBURN,CASTLE,LOVE LANE,BURLEIGH HILL,GREENISLAND",823657,4268,"2,668",East Antrim,-5.81944845,54.72160076,0,"N08000810,N08000813,N08000825,N08000831,N08000836,N08000840","[1464.9140524369113, 2042.4590867964316, 6.016470615652824, 217.16602504776552, 0.0, 537.4444019218026]","1464.9140524369113, 2042.4590867964316, 6.016470615652824, 217.16602504776552, 0.0, 537.4444019218026",East Antrim,2161.964387,506
N08000837,THE MAIDENS,"CURRAN and INVER,CAIRNCASTLE,GARDENMORE",1413875,6439,"2,548",East Antrim,-5.81666503,54.86322519,0.019343578,"N08000811,N08000817,N08000820,N08000837,out","[988.5729940601651, 1765.1831287691589, 2058.2081142900124, 0.0, 1627.035731333144]","988.5729940601651, 1765.1831287691589, 2058.2081142900124, 0.0, 1627.035731333144",East Antrim,2008.052392,540
N08000838,VICTORIA,"KILROOT,WOODBURN,LOVE LANE,BONEYBEFORE,BURLEIGH HILL",1659445,5663,"2,671",East Antrim,-5.80092015,54.73416221,0,"N08000807,N08000810,N08000828,N08000831,N08000838,N08000840","[935.8614293864664, 731.2689167695627, 1026.658348073642, 1214.1597586328505, 0.0, 1755.0515549695297]","935.8614293864664, 731.2689167695627, 1026.658348073642, 1214.1597586328505, 0.0, 1755.0515549695297",East Antrim,498.9997306,"2,172"
N08000839,WHITEHEAD SOUTH,"KILROOT,BALLYCARRY and GLYNN,ISLANDMAGEE",7702656,13896,"2,563",East Antrim,-5.72721845,54.7549782,0.05206818,"N08000805,N08000826,N08000828,N08000839,out","[3997.718394672079, 3361.7942177773184, 2292.7075147863125, 0.0, 4243.779860025189]","3997.718394672079, 3361.7942177773184, 2292.7075147863125, 0.0, 4243.779860025189",East Antrim,2036.70779,526
N08000840,WOODBURN,"KILROOT,BALLYCARRY and GLYNN,SUNNYLANDS,BURLEIGH HILL,VICTORIA,JORDANSTOWN,BALLYNURE,KILWAUGHTER,GREENISLAND",49039171,38673,"2,648",East Antrim,-5.8586183,54.75325551,0,"N08000108,N08000124,N08000805,N08000810,N08000825,N08000828,N08000829,N08000836,N08000838,N08000840","[10036.602026176497, 2007.8547878591007, 7046.413244641502, 2633.6147395815387, 5963.0117844548995, 5082.405837785311, 3546.494178742389, 594.3256401932981, 1762.2777256483575, 0.0]","10036.602026176497, 2007.8547878591007, 7046.413244641502, 2633.6147395815387, 5963.0117844548995, 5082.405837785311, 3546.494178742389, 594.3256401932981, 1762.2777256483575, 0.0",East Antrim,2107.621331,540
N08000427,LURIGETHAN,"TORR HEAD and RATHLIN,CARNLOUGH and GLENARM,SLEMISH,GLENRAVEL",69453067,46578,"2,120",East Antrim,-6.08964872,55.03607666,0.199916502,"N08000812,N08000821,N08000835,N08000437,N08000427,out","[12606.141197755891, 5458.5359865811015, 2753.2610549275796, 9845.787386124834, 0.0, 15914.274349095715]","12606.141197755891, 5458.5359865811015, 2753.2610549275796, 9845.787386124834, 0.0, 15914.274349095715",Dalriada,1635.333152,485
N08000902,AUGHER and CLOGHER,"BALLYGAWLEY,AUGHNACLOY,FIVEMILETOWN,NEWTOWNSAVILLE,SIXMILECROSS",99920771,61905,"2,491",Fermanagh and South Tyrone,-7.10860898,54.43984116,0.112939877,"N08000902,N08000903,N08000904,N08000920,N08000636,N08000631,out","[0.0, 3918.0168168714576, 8315.291143544679, 20748.83520062573, 6419.7664007304575, 13136.718476541058, 9366.371965891947]","0.0, 3918.0168168714576, 8315.291143544679, 20748.83520062573, 6419.7664007304575, 13136.718476541058, 9366.371965891947",Fermanagh and South Tyrone,1202.671328,"1,288"
N08000903,AUGHNACLOY,"CALEDON,BALLYGAWLEY,CASTLECAULFIELD,AUGHER and CLOGHER",83790740,61637,"2,318",Fermanagh and South Tyrone,-6.92753762,54.43573689,0.21536399,"N08000902,N08000903,N08000904,N08000908,N08000909,out","[3784.453798448623, 0.0, 15290.68294393917, 16660.04434663904, 8650.03185489, 17251.787036283666]","3784.453798448623, 0.0, 15290.68294393917, 16660.04434663904, 8650.03185489, 17251.787036283666",Fermanagh and South Tyrone,1062.241059,"1,256"
N08000904,BALLYGAWLEY,"TERMON,AUGHNACLOY,CASTLECAULFIELD,DONAGHMORE,AUGHER and CLOGHER,SIXMILECROSS",76765807,52663,"2,360",Fermanagh and South Tyrone,-6.97904343,54.49531144,0,"N08000902,N08000903,N08000904,N08000909,N08000918,N08000639,N08000636","[8122.477782749791, 15463.259481007302, 0.0, 11703.729167464124, 7595.477197826161, 1179.887932263425, 8948.10302946889]","8122.477782749791, 15463.259481007302, 0.0, 11703.729167464124, 7595.477197826161, 1179.887932263425, 8948.10302946889",Fermanagh and South Tyrone,1067.815581,"1,292"
N08000906,BALLYSAGGART,"CALEDON,KILLYMEAL,MOYGASHEL,CASTLECAULFIELD,MULLAGHMORE",3955927,9519,"2,580",Fermanagh and South Tyrone,-6.77993486,54.49813347,0,"N08000906,N08000908,N08000909,N08000923,N08000929,N08000930","[0.0, 2369.4815258632443, 1818.2650980217545, 675.8234571915784, 2460.157114250704, 2195.2728021651083]","0.0, 2369.4815258632443, 1818.2650980217545, 675.8234571915784, 2460.157114250704, 2195.2728021651083",Upper Bann and Blackwater,1198.620534,"1,381"
