WardID,Ward Name,Neighbours,Area,Perimeter,Electorate,Constituency,Lng,Lat,OuterLength,NeighbourID,RealLengths,CleanLengths,InitialConstituency,Unionist,Nationalist
N08000323,DUNMURRY,"LADYBROOK,TWINBROOK,FINAGHY,DRUMBO,LAMBEG,DERRYAGHY",1904384,7102,"3,839",Belfast West,-6.00342908,54.55270573,0,"N08000323,N08000326,N08000334,N08000728,N08000355,N08000712,N08000714","[0.0, 1383.5187327215963, 1492.6433869116897, 2096.0037109310047, 1441.9017936028895, 1258.8282730321064, 0.0]","0.0, 1383.5187327215963, 1492.6433869116897, 2096.0037109310047, 1441.9017936028895, 1258.8282730321064, 0.0",Belfast South West,1390.049615,"2,449"
N08000324,FALLS,"SHANKILL,BEECHMOUNT,CLONARD,BLACKSTAFF,CENTRAL",1100001,5624,"3,258",Belfast West,-5.94794956,54.59639091,0,"N08000307,N08000312,N08000315,N08000318,N08000324,N08000348","[788.8798785335101, 1142.5723337678014, 1341.3411330034737, 711.308430103045, 0.0, 1639.898217252322]","788.8798785335101, 1142.5723337678014, 1341.3411330034737, 711.308430103045, 0.0, 1639.898217252322",Belfast North West,612.5238895,"2,645"
N08000325,FALLS PARK,"BEECHMOUNT,BLACKSTAFF,SHAW'S ROAD,TURF LODGE,MUSGRAVE,BALLYMURPHY,ANDERSONSTOWN",2209267,7731,"3,661",Belfast West,-5.97847567,54.58313418,0,"N08000301,N08000305,N08000307,N08000312,N08000325,N08000339,N08000349,N08000354","[1221.8998810296912, 1001.6661628625734, 1420.5864953678586, 1540.6193747613243, 0.0, 88.80472934293223, 691.3710952656395, 1766.0522803253264]","1221.8998810296912, 1001.6661628625734, 1420.5864953678586, 1540.6193747613243, 0.0, 88.80472934293223, 691.3710952656395, 1766.0522803253264",Belfast South West,622.3910155,"3,039"
N08000327,FORTH RIVER,"WOODVALE,ARDOYNE,BALLYGOMARTIN,LEGONIEL,COLLIN GLEN,CLADY",4334454,12366,"3,148",Belfast West,-5.99651949,54.61715018,0,"N08000302,N08000303,N08000319,N08000327,N08000336,N08000113,N08000360","[229.84522958304683, 3811.345462365985, 417.9074555058779, 0.0, 9108.695589515733, 1.4725445416734217, 959.2307173602719]","229.84522958304683, 3811.345462365985, 417.9074555058779, 0.0, 9108.695589515733, 1.4725445416734217, 959.2307173602719",Belfast North West,836.7095235,"2,311"
N08000334,LADYBROOK,"POLEGLASS,STEWARTSTOWN,DUNMURRY,TWINBROOK,FINAGHY,MUSGRAVE,ANDERSONSTOWN",1104638,6214,"3,673",Belfast West,-6.00392863,54.56439563,0,"N08000301,N08000323,N08000326,N08000334,N08000339,N08000343,N08000350,N08000355","[705.5345325567984, 1421.629129172462, 142.80808164877863, 0.0, 764.7705801135576, 319.0745694398635, 1807.1435490699089, 1071.6388274685305]","705.5345325567984, 1421.629129172462, 142.80808164877863, 0.0, 764.7705801135576, 319.0745694398635, 1807.1435490699089, 1071.6388274685305",Belfast South West,677.6657956,"2,995"
N08000335,LAGMORE,"POLEGLASS,TWINBROOK,DERRYAGHY,WHITE MOUNTAIN,STONYFORD",2171862,7357,"4,434",Belfast West,-6.04187332,54.55427412,0,"N08000335,N08000738,N08000740,N08000343,N08000355,N08000712","[0.0, 557.2131272137606, 505.977486306578, 2610.4571493025346, 936.6495728798936, 5323.068252247596]","0.0, 557.2131272137606, 505.977486306578, 2610.4571493025346, 936.6495728798936, 5323.068252247596",Belfast South West,834.2750095,"3,600"
N08000728,LAMBEG,"DUNMURRY,FINAGHY,DRUMBO,HARMONY HILL,HILDEN,HILLHALL,DERRYAGHY",4368023,11236,"2,332",Belfast West,-6.01151608,54.53183598,0.00473318,"N08000323,N08000326,N08000720,N08000721,N08000722,N08000728,N08000712,N08000714,out","[2110.452701949125, 0.0, 532.2596540741473, 1700.2702314376527, 2433.3954576526753, 0.0, 2313.0852625729876, 1728.9041147257033, 417.6325361003043]","2110.452701949125, 0.0, 532.2596540741473, 1700.2702314376527, 2433.3954576526753, 0.0, 2313.0852625729876, 1728.9041147257033, 417.6325361003043",South Antrim,1981.827574,350
N08000343,POLEGLASS,"COLLIN GLEN,STEWARTSTOWN,LADYBROOK,TWINBROOK,LAGMORE,STONYFORD",3008603,10660,"3,685",Belfast West,-6.03362838,54.56763748,0,"N08000319,N08000334,N08000335,N08000738,N08000343,N08000350,N08000355","[2249.639178106625, 320.58174982544625, 2718.2486764982314, 3198.8070617003286, 0.0, 1700.2557751422821, 681.2435695286437]","2249.639178106625, 320.58174982544625, 2718.2486764982314, 3198.8070617003286, 0.0, 1700.2557751422821, 681.2435695286437",Belfast South West,738.4165204,"2,947"
N08000348,SHANKILL,"WOODVALE,WATER WORKS,NEW LODGE,FALLS,CLONARD,CENTRAL",1111745,5032,"4,051",Belfast West,-5.94679156,54.60509815,0,"N08000315,N08000318,N08000324,N08000340,N08000348,N08000357,N08000360","[140.0299792147734, 340.7169599648033, 1621.1289099317125, 762.4000626679041, 0.0, 1327.1954321763153, 840.5286612859788]","140.0299792147734, 340.7169599648033, 1621.1289099317125, 762.4000626679041, 0.0, 1327.1954321763153, 840.5286612859788",Belfast North West,1336.852488,"2,714"
N08000349,SHAW'S ROAD,"COLLIN GLEN,STEWARTSTOWN,TURF LODGE,FALLS PARK,ANDERSONSTOWN",1743378,6226,"3,826",Belfast West,-6.00179544,54.58037683,0,"N08000301,N08000319,N08000325,N08000350,N08000349,N08000354","[1395.9537861931283, 1703.7821113854443, 711.2243999007443, 857.0458468167632, 0.0, 1567.523012512266]","1395.9537861931283, 1703.7821113854443, 711.2243999007443, 857.0458468167632, 0.0, 1567.523012512266",Belfast South West,722.9795019,"3,103"
N08000354,TURF LODGE,"BALLYGOMARTIN,COLLIN GLEN,SHAW'S ROAD,FALLS PARK,BALLYMURPHY",2367724,8955,"3,475",Belfast West,-5.99746943,54.59311932,0.009092925,"N08000303,N08000305,N08000319,N08000325,N08000349,N08000354,out","[883.4266682769572, 1446.9115194483143, 2515.0045867127787, 1802.7393968313074, 1555.420757860456, 0.0, 751.4970539003555]","883.4266682769572, 1446.9115194483143, 2515.0045867127787, 1802.7393968313074, 1555.420757860456, 0.0, 751.4970539003555",Belfast South West,694.3477504,"2,781"
N08000355,TWINBROOK,"POLEGLASS,LADYBROOK,DUNMURRY,LAGMORE,DERRYAGHY",1414160,5476,"3,350",Belfast West,-6.01933894,54.55490263,0,"N08000323,N08000334,N08000335,N08000343,N08000355,N08000712","[1428.959204843466, 1115.070525737922, 1010.082969392816, 705.5206156306962, 0.0, 1963.0467006032634]","1428.959204843466, 1115.070525737922, 1010.082969392816, 705.5206156306962, 0.0, 1963.0467006032634",Belfast South West,630.5417018,"2,719"
N08000360,WOODVALE,"ARDOYNE,WATER WORKS,SHANKILL,BALLYGOMARTIN,FORTH RIVER,CLONARD",841179,4356,"3,122",Belfast West,-5.96070072,54.60717784,0,"N08000302,N08000303,N08000318,N08000327,N08000348,N08000357,N08000360","[644.9836457850166, 1411.9738188091872, 830.6015619291163, 1029.743952818853, 913.2199026123069, 306.1424193757029, 0.0]","644.9836457850166, 1411.9738188091872, 830.6015619291163, 1029.743952818853, 913.2199026123069, 306.1424193757029, 0.0",Belfast North West,1459.515263,"1,662"
